name,Party
Yildiz Akdogan,Socialdemokraterne
Jacob Bundsgaard,Socialdemokraterne
Camilla Schwalbe,Socialdemokraterne
Mette Abildgaard,Det Konservative Folkeparti
Pia Allerslev,Venstre
Niclas Bekker,Socialdemokraterne
Morten Kabell,Socialistisk Folkeparti
Laura Lindahl,Liberal Alliance
Kristian Hegaard,Radikale Venstre
Jacob Bjerregaard,Socialdemokraterne
Anker Boye,Socialdemokraterne
Anne Marie Geisler,Radikale Venstre
Ninna Thomsen,Socialistisk Folkeparti
Maja Højgaard,Socialdemokraterne
Pernille Vigsø Bagge,Socialistisk Folkeparti
Daniel Nyboe Anderse,Radikale Venstre
Peter Kofod Poulsen,Dansk Folkeparti
Ole Christensen,Socialdemokraterne
Michael Ziegler,Det Konservative Folkeparti
Anders Vistisen,Dansk Folkeparti
Signe Færch,Enhedslisten
Tommy Petersen,Radikale Venstre
Stine Brix,Enhedslisten
Jonas Dahl,Socialistisk Folkeparti
