name,twitterAccount,followers,following,tweets,created_at,type
Holger K Nielsen,@sfhoni,2650,259,589,19/03-2015,Folketinget
Videregående udd,@UFM_UDD,2647,369,1225,03/04-2014,Folketinget
Lars Chr Lilleholt,@larsclilleholt,2640,176,445,27/02-2014,Folketinget
Eva Kjer Hansen,@EvaKjerHansen,2622,132,102,26/03-2014,Folketinget
René Gade,@renegadedreng,2550,1736,4001,03/12-2009,Folketinget
Maria R Gjerding,@MariaGjerding,2511,499,1855,05/09-2014,Folketinget
Simon Kollerup,@simonkollerup,2435,1466,1687,21/07-2009,Folketinget
Regeringendk,@regeringDK,2435,11,184,19/11-2015,Folketinget
Morten Dahlin,@MortenDahlin,2344,904,4213,05/03-2013,Regionalt/lokalt
Laura Lindahl,@lauralindahl,2247,562,2357,30/05-2010,Regionalt/lokalt
Henrik Dahl,@SociologenHD,2233,106,340,15/08-2014,Folketinget
Erhvervs- og Vækst,@EVM_dk,2199,757,1037,17/04-2013,Folketinget
Kristian Hegaard,@KHegaard,2194,737,5767,11/03-2013,Regionalt/lokalt
Jane Heitmann,@JaneHeitmann,2146,314,936,01/04-2009,Folketinget
Jacob Bjerregaard,@JaBjerregaard,2114,456,114,14/11-2012,Regionalt/lokalt
Dennis Flydtkjær,@flydtkjaer,2069,303,467,20/03-2012,Folketinget
Jacob Mark,@jacobmark_sf,2051,202,1316,01/03-2014,Folketinget
Anker Boye,@AnkerBoye,1990,834,185,12/10-2013,Regionalt/lokalt
Ulla Tørnæs,@Ulla_Tornaes,1984,423,189,06/11-2014,Folketinget
Anne Marie Geisler,@amgeisler,1980,1535,5844,13/07-2009,Regionalt/lokalt
Carolina M Maier,@carolinamaier,1963,1153,2827,21/04-2009,Folketinget
Ninna Thomsen,@ThomsenNinna,1941,324,2134,29/09-2013,Regionalt/lokalt
Karen Ellemann,@EllemannKaren,1937,115,51,28/03-2015,Folketinget
Maja Højgaard,@majaajam,1899,1186,12317,26/10-2007,Regionalt/lokalt
Thomas Danielsen,@ThDanielsen,1873,372,496,23/09-2011,Folketinget
Pernille Vigsø Bagge,@sfpevb,1855,330,264,29/05-2013,Regionalt/lokalt
Kr Pihl Lorentzen,@kplorentzen,1846,323,218,02/01-2011,Folketinget
Christian Juhl,@ChristianJuhl2,1821,336,641,07/01-2014,Folketinget
Daniel Nyboe Anderse,@danielnyboe,1778,2373,4978,12/09-2010,Regionalt/lokalt
Peter Kofod Poulsen,@KofodPeter,1731,852,793,22/07-2013,Regionalt/lokalt
Ole Christensen,@OleEU,1650,483,511,14/11-2013,EU
Leif Lahn Jensen,@LahnLeif,1649,581,170,20/12-2013,Folketinget
Michael Ziegler,@Mich_Ziegler,1642,254,393,20/04-2009,Regionalt/lokalt
Anders Vistisen,@AndersVistisen,1626,294,2125,15/07-2011,EU
Torsten Gejl,@TorstenGejl,1589,817,904,13/09-2014,Folketinget
Morten Marinus,@MortenMarinus,1577,465,1001,11/09-2012,Folketinget
Nicolai Wammen,@NWammen,1548,948,260,04/10-2014,Folketinget
Signe Færch,@signefaerch,1524,807,890,03/06-2009,Regionalt/lokalt
Christina Egelund,@ChristinaEgelun,1516,465,1049,24/01-2014,Folketinget
Tommy Petersen,@TommyPetersenDK,1515,1886,3153,09/08-2012,Regionalt/lokalt
Mette Bock,@mettebock,1512,28,125,14/04-2011,Folketinget
Daniel Panduro,@Danielpanduro,1481,23,7136,16/03-2008,Regionalt/lokalt
Miljø & Fødevaremin,@MFVMin,1479,511,702,18/08-2015,Folketinget
LAU,@LiberalUngdomDK,1441,1986,716,05/07-2014,Parti
Thomas Medom,@thomasmedom,1393,1112,1319,18/04-2009,Regionalt/lokalt
Svend Thorhauge,@SvendThorhauge,1369,1362,2545,22/01-2012,Regionalt/lokalt
Gunvor Wibroe,@GunvorWibroe,1364,1407,1232,20/09-2012,Regionalt/lokalt
Anni Matthiesen,@AnniMatthiesen,1339,247,119,29/04-2014,Folketinget
Lea Wermelin,@LeaWermelin,1317,1048,332,12/06-2012,Folketinget
Nationalpartiet,@Nationalpartiet,1308,1,1347,18/08-2014,Parti
Daniel Rugholm,@rugholm,1282,282,254,20/08-2009,Regionalt/lokalt
Sisse Marie Welling,@SisseMarieWe,1261,346,623,26/09-2013,Regionalt/lokalt
ulla sandbaek,@usandbaek,1242,157,132,01/04-2012,Folketinget
Jens-Kristian Lütken,@lytken,1229,218,898,13/04-2009,Regionalt/lokalt
Eva Flyvholm,@EvaFlyvholm,1223,88,171,27/04-2015,Folketinget
Konservativ Ungdom,@KU_DK,1222,355,640,12/03-2012,Parti
Julie Skovsby,@JulieSkovsby,1219,1337,295,23/10-2014,Folketinget
Jørn Pedersen,@mayorkolding,1198,444,692,12/12-2009,Regionalt/lokalt
Caroline Stage,@CarolineStage,1178,871,1066,21/11-2012,Regionalt/lokalt
Hans Kristian Skibby,@BundgaardSkibby,1169,377,266,29/01-2013,Folketinget
Nikolaj Bøgh,@nikolajbogh,1141,1774,606,27/05-2009,Regionalt/lokalt
Karin Gaardsted,@KarinGaardsted,1131,203,143,22/02-2012,Folketinget
Min Forsyning,@MinForsyning,1125,745,378,01/12-2015,Folketinget
Lilian Parker Kaule,@lpk2400,1113,351,3597,04/07-2011,Regionalt/lokalt
Rikke Lauritzen,@rikkelau,1081,955,1836,07/06-2012,Regionalt/lokalt
Trine Schøning Torp,@TrineTorp,1072,282,637,13/08-2013,Folketinget
Jesper Christensen,@bedreby,1065,457,346,03/06-2009,Regionalt/lokalt
Kaare Dybvad,@KaareDybvad,1065,428,467,03/09-2009,Folketinget
Karina Adsbøl,@AdsbolAdsbl,1044,187,928,16/09-2012,Folketinget
Claus Jørgensen,@clausjorgensen,1031,1474,387,17/04-2009,Regionalt/lokalt
Charlotte Fischer,@lottefischer,1029,345,924,11/11-2010,Regionalt/lokalt
Michael Gatten,@michaelgattendk,1026,1838,685,05/06-2009,Regionalt/lokalt
Torben Hansen,@TorbenHansenRds,1023,242,258,23/02-2013,Regionalt/lokalt
